cve,vul,test-data1,test-data2,test-data3,test-data4
cve-1,abc,GOOD,10.0,100,0.10
cve-2,def,WARN,10.5,110,0.11
cve-3,ghi,BAD,11.0,120,0.12
cve-4,jkl,GOOD,11.5,130,0.13
cve-5,mno,WARN,12.0,140,0.14
cve-6,abc,BAD,12.5,150,0.15
cve-7,def,GOOD,13.0,160,0.16
cve-8,ghi,WARN,13.5,170,0.17
cve-9,jkl,BAD,14.0,180,0.18
cve-10,mno,GOOD,14.5,190,0.19
cve-11,abc,WARN,15.0,200,0.20
cve-12,def,BAD,15.5,210,0.21
cve-13,ghi,GOOD,16.0,220,0.22
cve-14,jkl,WARN,16.5,230,0.23
cve-15,mno,BAD,17.0,240,0.24
cve-16,abc,GOOD,17.5,250,0.25
cve-17,def,WARN,18.0,260,0.26
cve-18,ghi,BAD,18.5,270,0.27
cve-19,jkl,GOOD,19.0,280,0.28
cve-20,mno,WARN,19.5,290,0.29
cve-21,abc,BAD,20.0,300,0.30
cve-22,def,GOOD,20.5,310,0.31
cve-23,ghi,WARN,21.0,320,0.32
cve-24,jkl,BAD,21.5,330,0.33
cve-25,mno,GOOD,22.0,340,0.34
cve-26,abc,WARN,22.5,350,0.35
cve-27,def,BAD,23.0,360,0.36
cve-28,ghi,GOOD,23.5,370,0.37
cve-29,jkl,WARN,24.0,380,0.38
cve-30,mno,BAD,24.5,390,0.39
cve-31,abc,GOOD,25.0,400,0.40
cve-32,def,WARN,25.5,410,0.41
cve-33,ghi,BAD,26.0,420,0.42
cve-34,jkl,GOOD,26.5,430,0.43
cve-35,mno,WARN,27.0,440,0.44
cve-36,abc,BAD,27.5,450,0.45
cve-37,def,GOOD,28.0,460,0.46
cve-38,ghi,WARN,28.5,470,0.47
cve-39,jkl,BAD,29.0,480,0.48
cve-40,mno,GOOD,29.5,490,0.49
cve-41,abc,WARN,30.0,500,0.50
cve-42,def,BAD,30.5,510,0.10
cve-43,ghi,GOOD,31.0,520,0.11
cve-44,jkl,WARN,31.5,530,0.12
cve-45,mno,BAD,32.0,540,0.13
cve-46,abc,GOOD,32.5,550,0.14
cve-47,def,WARN,33.0,560,0.15
cve-48,ghi,BAD,33.5,570,0.16
cve-49,jkl,GOOD,34.0,580,0.17
cve-50,mno,WARN,34.5,590,0.18
cve-51,abc,BAD,35.0,600,0.19
cve-52,def,GOOD,35.5,610,0.20
cve-53,ghi,WARN,36.0,620,0.21
